Date,Subject,Snippet,Prediction,Confidence,Source
2026-01-27 18:54:22.508780,Manual Scan,"

Dear MUDUNURI NAGA KALI PRANEETH VARMA



You completed your one internship with us before and this is a reason we are",Spam,27.59,Manual
2026-01-27 18:53:20.831120,Manual Scan,"Dear Learner,

 

With reference to Infosys Springboard Internship 6.0, You should have received the project title and m",Ham,90.0,Manual
2026-01-27 17:49:59.866025,Manual Scan,"Dear Learner,

 

With reference to Infosys Springboard Internship 6.0, You should have received the project title and m",Ham,90.0,Manual
2026-01-27 17:48:14.433730,Manual Scan,"Dear Learner,

 

With reference to Infosys Springboard Internship 6.0, You should have received the project title and m",Ham,90.0,Manual
2026-01-27 17:45:32.883519,Manual Scan,"Dear Learner,

 

With reference to Infosys Springboard Internship 6.0, You should have received the project title and m",Ham,90.0,Manual
2025-12-31 06:18:55.081722,Historical Ingestion,"Funny fact Nobody teaches volcanoes 2 erupt, tsunamis 2 arise, hurricanes 2 sway aroundn no 1 teache",Ham,90.74277845682452,Dataset
2025-12-07 06:28:55.081722,Historical Ingestion,I sent my scores to sophas and i had to do secondary application for a few schools. I think if you a,Ham,88.14628009660312,Dataset
2024-11-03 13:22:55.081722,Historical Ingestion,"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150",Spam,98.5951864658786,Dataset
2024-07-27 22:23:55.081722,Historical Ingestion,Only if you promise your getting out as SOON as you can. And you'll text me in the morning to let me,Ham,93.23074921178905,Dataset
2025-10-14 00:26:55.081722,Historical Ingestion,Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt,Spam,93.46309950282271,Dataset
2025-10-22 09:24:55.081722,Historical Ingestion,"I'll text carlos and let you know, hang on",Ham,95.12583453913592,Dataset
2024-08-24 23:20:55.081722,Historical Ingestion,K.i did't see you.:)k:)where are you now?,Ham,87.55950513326317,Dataset
2024-07-23 11:08:55.081722,Historical Ingestion,No message..no responce..what happend?,Ham,97.7617380792546,Dataset
2024-03-02 20:48:55.081722,Historical Ingestion,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at fir,Ham,98.65191001638286,Dataset
2025-04-27 19:59:55.081722,Historical Ingestion,You flippin your shit yet?,Ham,91.26085313233,Dataset
2025-01-02 12:35:55.081722,Historical Ingestion,For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.,Ham,88.088516133612,Dataset
